Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/3/2021 13:00,3,Business Hours,26,65,148,26,5,1,0,0,0,5,1,21.6,0.6,0.4,3,3,279,1,71
1/3/2021 13:00,1,Business Hours,26,131,149,26,2,0,0,0,0,2,0,65.5,0.5,0.5,2,2,193,0,
1/3/2021 13:30,2,Business Hours,27,147,150,27,3,0,0,0,0,3,1,73.67,0.67,0.67,2,2,270,0,
1/3/2021 14:00,3,Business Hours,28,557,151,28,7,0,1,0,0,6,1,111.43,0.5,0,5,5,372,0,
1/3/2021 14:30,2,Business Hours,29,237,152,29,5,0,1,0,0,4,0,59.2,0.5,0,4,4,244,0,
1/3/2021 15:00,2,Business Hours,30,49,153,30,3,1,0,0,0,3,0,24.67,0.67,0.67,2,2,227,1,2032
1/3/2021 15:30,5,Business Hours,31,144,154,31,6,0,0,0,0,6,0,28.8,0.8,0.4,5,5,206,0,
1/3/2021 16:00,6,Business Hours,32,286,155,32,9,0,2,0,0,7,1,57.13,0.83,0.5,5,5,276,0,
1/3/2021 16:00,1,Business Hours,32,0,156,32,1,0,0,0,0,1,1,22,1,0,0,0,,0,
1/3/2021 16:30,6,Business Hours,33,321,157,33,9,0,0,1,0,8,1,53.57,0.71,0.29,6,6,315,0,
1/3/2021 17:00,6,Business Hours,34,384,158,34,10,0,0,0,0,10,1,64,0.57,0.43,6,6,288,0,
1/3/2021 17:30,4,Business Hours,35,44,159,35,4,0,0,0,0,4,0,14.67,1,0.67,3,3,242,0,
1/3/2021 18:00,0,Business Hours,36,0,160,36,4,0,0,0,4,0,0,,,,0,0,,0,
1/3/2021 18:00,0,Business Hours,36,0,161,36,4,0,1,0,0,3,0,0,,,3,0,,0,
1/3/2021 18:30,0,Business Hours,37,0,162,37,6,0,0,0,6,0,0,,,,0,0,,0,
1/3/2021 18:30,0,Business Hours,37,0,163,37,6,0,5,0,0,1,0,0,,,1,0,,0,
1/3/2021 19:00,0,Business Hours,38,0,164,38,2,0,0,0,2,0,0,,,,0,0,,0,
